N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,6047,0,0.12506804669179394,0.09972559999999851,0.3983,0.1457,0.09602612244897714,0.05908114285714354,0.2927753236079827,2.987325908064085
150000,5000,10533,0,0.33943862938513225,0.10590399999999861,0.4114,0.0003,0.10436302040816067,9.281632653061224e-05,0.49941442683121934,0.7971740262504735
150000,5000,10718,0,0.16460190550231613,0.1052842399999982,0.4209,0.1112,0.10419551020407905,0.04685053061224416,0.3989001919831579,3.2444125408579367
150000,5000,10060,0,0.14527117490274777,0.09320479999999899,0.3568,0.0966,0.08989518367346745,0.04922440816326652,0.47097031297790115,4.687988979778312
150000,5000,10209,0,0.24238749311466612,0.10809071999999838,0.386,0.1066,0.09648522448979377,0.0353430204081631,0.4383926216448591,1.7737067716550776
150000,5000,8328,0,0.3503224276373047,0.10248599999999872,0.3951,0.0001,0.09859028571428341,2.7428571428571428e-05,0.431355296745165,0.3071024548840111
150000,5000,11159,0,0.17337140733056144,0.09078239999999879,0.3703,0.0968,0.09169093877550788,0.03621967346938705,0.3998187885181946,2.471045520684216
150000,5000,6907,0,0.16178880597908984,0.1040329599999987,0.4197,0.1665,0.10264677551020145,0.04746930612244937,0.34994348483887666,1.0140663012177102
150000,5000,9609,0,0.2922775536711575,0.10455767999999875,0.4178,0.1063,0.10246089795918087,0.012062204081632633,0.3608967044254565,-1.7980384886982366
150000,5000,9993,0,0.19399823916932857,0.08926959999999864,0.3851,0.0931,0.09120938775509962,0.029312489795918616,0.22310542486359472,1.4995543933440885
150000,5000,8301,0,0.14222725448421425,0.10404679999999834,0.4239,0.1065,0.10305167346938501,0.053219346938776405,0.32584732543553296,4.527987617389701
150000,5000,6144,0,0.1399801689287652,0.09876079999999907,0.3899,0.1461,0.0940826938775491,0.054930857142857635,0.2962108692792754,2.503497292047182
150000,5000,7039,0,0.15802822669819772,0.09699407999999851,0.4026,0.1552,0.09415199999999746,0.04689167346938726,0.17409732728416127,1.293215096097025
150000,5000,6988,0,0.056919806574043275,0.09951871999999877,0.4041,0.2147,0.09839240816326295,0.07920693877551059,0.33209851007086755,2.389414982159894
150000,5000,6799,0,0.126733662806637,0.09943687999999884,0.4131,0.1912,0.09769608163265038,0.056439510204081715,0.21735648736355256,1.1797142256239572
150000,5000,7537,0,0.1517848749325308,0.10301719999999916,0.3909,0.1027,0.1014701224489776,0.05026089795918389,0.5962895780078906,4.3585266023508655
150000,5000,8182,0,0.10882541260712186,0.09549727999999896,0.3654,0.1576,0.09048440816326359,0.06301991836734684,0.40011827757781787,2.8955874415096234
150000,5000,11024,0,0.1929837843586224,0.10699735999999853,0.411,0.1469,0.09999951020407895,0.04476122448979635,0.32918949293763533,1.3351643940192586
150000,5000,7388,0,0.08816949155388909,0.0952071999999988,0.4057,0.1492,0.0974632653061204,0.062094285714285616,0.278742786298048,3.162602859696257
150000,5000,4779,0,0.06808581393337354,0.10054431999999837,0.4174,0.1782,0.10280506122448675,0.07264653061224516,0.3782894962586376,3.0241113705776406
